ลำดับ,รหัสหลักสูตร,สถาบัน,วิทยาเขต,คณะ,หลักสูตร,แขนง/วิชาเอก,โครงการ,รูปแบบ,PAT,รหัสรับร่วม,รับ,สมัคร,ผ่าน,ยืนยันสิทธิ์,อัตราการแข่งขัน,คะแนนสูงสุด,คะแนนต่ำสุด
4503,10270107610501A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะบริหารธุรกิจและนิเทศศาสตร์,หลักสูตรบัญชีบัณฑิต,,Admission1,Admission1,,,80,233,58,45,1 : 2.91,57.1375,12.5500
4504,10270107610501A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะบริหารธุรกิจและนิเทศศาสตร์,หลักสูตรบัญชีบัณฑิต,,Admission2,Admission2,,,50,228,23,18,1 : 4.56,17015.9400,8801.0400
4505,10270107610601A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะบริหารธุรกิจและนิเทศศาสตร์,หลักสูตรบริหารธุรกิจบัณฑิต สาขาวิชาการตลาดดิจิทัล,โครงการปกติ,Admission1,Admission1,,,60,154,34,28,1 : 2.57,55.4917,7.9417
4506,10270107610601A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะบริหารธุรกิจและนิเทศศาสตร์,หลักสูตรบริหารธุรกิจบัณฑิต สาขาวิชาการตลาดดิจิทัล,โครงการปกติ,Admission2,Admission2,,,40,85,10,7,1 : 2.13,13263.0000,4170.0000
4507,10270107611101A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะบริหารธุรกิจและนิเทศศาสตร์,หลักสูตรเศรษฐศาสตรบัณฑิต,,Admission1,Admission1,,,40,42,12,10,1 : 1.05,58.5542,19.3572
4508,10270107611101A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะบริหารธุรกิจและนิเทศศาสตร์,หลักสูตรเศรษฐศาสตรบัณฑิต,,Admission2,Admission2,,,40,47,5,3,1 : 1.18,16225.5000,12189.6000
4509,10270107620101A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะบริหารธุรกิจและนิเทศศาสตร์,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาการท่องเที่ยว,,Admission1,Admission1,,,50,99,21,18,1 : 1.98,58.5053,8.3083
4510,10270107620101A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะบริหารธุรกิจและนิเทศศาสตร์,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาการท่องเที่ยว,,Admission2,Admission2,,,40,52,5,2,1 : 1.3,15651.2000,9616.2400
4511,10270107900101A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะบริหารธุรกิจและนิเทศศาสตร์,หลักสูตรนิเทศศาสตรบัณฑิต สาขาวิชาการจัดการการสื่อสาร,,Admission1,Admission1,,,50,99,19,11,1 : 1.98,51.1180,15.9000
4512,10270107900101A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะบริหารธุรกิจและนิเทศศาสตร์,หลักสูตรนิเทศศาสตรบัณฑิต สาขาวิชาการจัดการการสื่อสาร,,Admission2,Admission2,,,40,84,7,5,1 : 2.1,18779.0000,11635.5400
4513,10270107901101A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะบริหารธุรกิจและนิเทศศาสตร์,หลักสูตรนิเทศศาสตรบัณฑิต สาขาวิชาการสื่อสารสื่อใหม่,,Admission1,Admission1,,,50,147,42,29,1 : 2.94,76.2333,15.4000
4514,10270107901101A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะบริหารธุรกิจและนิเทศศาสตร์,หลักสูตรนิเทศศาสตรบัณฑิต สาขาวิชาการสื่อสารสื่อใหม่,,Admission2,Admission2,,,50,115,20,20,1 : 2.3,20185.5000,3690.0000
4515,10270108112001A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์การออกกำลังกายและการกีฬา,,Admission1,Admission1,,,15,43,7,6,1 : 2.87,31.7417,13.2213
4516,10270108112001A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์การออกกำลังกายและการกีฬา,,Admission2,Admission2,,,15,32,4,3,1 : 2.13,13441.4000,9977.8000
4517,10270108210301A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาคณิตศาสตร์,,Admission1,Admission1,,,15,22,4,3,1 : 1.47,45.9250,36.4417
4518,10270108210301A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาคณิตศาสตร์,,Admission2,Admission2,,,15,23,3,3,1 : 1.53,14770.9000,10693.4000
4519,10270108210401A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเคมี,,Admission1,Admission1,,,30,46,6,4,1 : 1.53,47.8333,36.3667
4520,10270108210401A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเคมี,,Admission2,Admission2,,,40,69,11,10,1 : 1.73,15729.2400,9560.6000
4521,10270108210701A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาชีววิทยา,,Admission1,Admission1,,,60,77,19,10,1 : 1.28,53.6833,28.0000
4522,10270108210701A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาชีววิทยา,,Admission2,Admission2,,,40,124,21,15,1 : 3.1,14396.8000,8865.0000
4523,10270108210702F,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะวิทยาศาสตร์,การจัดการศึกษาหลักสูตรระดับปริญญาตรีควบปริญญาโท (หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาชีววิทยา และหลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาชีววิทยา),,Admission1,Admission1,,,10,43,14,11,1 : 4.3,49.5713,27.8630
4524,10270108210702F,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะวิทยาศาสตร์,การจัดการศึกษาหลักสูตรระดับปริญญาตรีควบปริญญาโท (หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาชีววิทยา และหลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาชีววิทยา),,Admission2,Admission2,,,10,22,4,3,1 : 2.2,15187.8400,12382.3000
4525,10270108212701A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาฟิสิกส์,,Admission1,Admission1,,,15,7,2,2,1 : 0.47,44.6833,42.5500
4526,10270108212701A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาฟิสิกส์,,Admission2,Admission2,,,15,5,0,0,1 : 0.33,0.0000,0.0000
4527,10270108213301A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาสถิติ,,Admission1,Admission1,,,15,7,1,1,1 : 0.47,28.3463,28.3463
4528,10270108213301A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาสถิติ,,Admission2,Admission2,,,15,8,0,0,1 : 0.53,0.0000,0.0000
4529,10270109111801A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะวิทยาศาสตร์การแพทย์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาโภชนาการและการกำหนดอาหาร,,Admission1,Admission1,,,40,140,51,42,1 : 3.5,53.5750,35.5083
4530,10270109111801A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะวิทยาศาสตร์การแพทย์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาโภชนาการและการกำหนดอาหาร,,Admission2,Admission2,,,40,141,45,38,1 : 3.53,16823.6000,9467.9400
4531,10270109210501A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะวิทยาศาสตร์การแพทย์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาจุลชีววิทยา,,Admission1,Admission1,,,40,334,52,40,1 : 8.35,54.6130,41.8463
4532,10270109210501A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะวิทยาศาสตร์การแพทย์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาจุลชีววิทยา,,Admission2,Admission2,,,40,462,48,40,1 : 11.55,16730.5000,14298.2000
4533,10270109210601A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะวิทยาศาสตร์การแพทย์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาชีวเคมี,,Admission1,Admission1,,,40,104,42,36,1 : 2.6,53.7500,26.1380
4534,10270109210601A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะวิทยาศาสตร์การแพทย์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาชีวเคมี,,Admission2,Admission2,,,40,145,40,31,1 : 3.63,15960.9000,10747.4000
4535,10270110300701A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเครื่องกล,,Admission1,Admission1,,,40,70,14,11,1 : 1.75,44.2547,15.3750
4536,10270110300701A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเครื่องกล,,Admission2,Admission2,,,40,78,1,1,1 : 1.95,13915.0900,13915.0900
4537,10270110301601A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้า,,Admission1,Admission1,,,20,99,18,17,1 : 4.95,55.1250,16.6000
4538,10270110301601A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้า,,Admission2,Admission2,,,20,119,15,13,1 : 5.95,15379.1500,10512.3900
4539,10270110302101A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโยธา,,Admission1,Admission1,,,20,154,24,21,1 : 7.7,47.7417,31.3380
4540,10270110302101A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโยธา,,Admission2,Admission2,,,20,154,23,19,1 : 7.7,14815.9500,3660.0000
4541,10270110303501A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการ,,Admission1,Admission1,,,35,35,3,2,1 : 1,32.7297,11.8500
4542,10270110303501A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการ,,Admission2,Admission2,,,40,43,0,0,1 : 1.08,0.0000,0.0000
4543,10270111901801A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะศิลปศาสตร์,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาจีน,,Admission1,Admission1,,,20,162,20,20,1 : 8.1,68.1667,56.2167
4544,10270111901801A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะศิลปศาสตร์,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาจีน,,Admission2,Admission2,,,20,162,28,20,1 : 8.1,18728.5000,14284.9400
4545,10270111901802F,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะศิลปศาสตร์,การจัดการศึกษาหลักสูตรควบระดับปริญญาตรี 2 ปริญญา (หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาจีน และหลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาอังกฤษ),,Admission1,Admission1,,,10,60,16,12,1 : 6,66.6347,19.5180
4546,10270111901802F,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะศิลปศาสตร์,การจัดการศึกษาหลักสูตรควบระดับปริญญาตรี 2 ปริญญา (หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาจีน และหลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาอังกฤษ),,Admission2,Admission2,,,10,61,10,8,1 : 6.1,19641.4000,9560.8000
4547,10270111901901A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะศิลปศาสตร์,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาญี่ปุ่น,,Admission1,Admission1,,,20,138,23,20,1 : 6.9,67.6167,48.7167
4548,10270111901901A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะศิลปศาสตร์,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาญี่ปุ่น,,Admission2,Admission2,,,20,122,26,20,1 : 6.1,17796.8400,13778.2000
4549,10270111902001A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะศิลปศาสตร์,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาไทย,,Admission1,Admission1,,,40,74,25,19,1 : 1.85,61.2667,26.6167
4550,10270111902001A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะศิลปศาสตร์,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาไทย,,Admission2,Admission2,,,40,79,12,11,1 : 1.98,18078.0000,8401.0000
4551,10270111902401A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะศิลปศาสตร์,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาฝรั่งเศส,,Admission1,Admission1,,,15,17,3,2,1 : 1.13,61.2847,24.0000
4552,10270111902401A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะศิลปศาสตร์,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาฝรั่งเศส,,Admission2,Admission2,,,15,16,0,0,1 : 1.07,0.0000,0.0000
4553,10270111902402F,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะศิลปศาสตร์,การจัดการศึกษาหลักสูตรควบระดับปริญญาตรี 2 ปริญญา (หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาฝรั่งเศส และหลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาอังกฤษ),,Admission1,Admission1,,,10,17,5,5,1 : 1.7,59.0847,27.0667
4554,10270111902402F,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะศิลปศาสตร์,การจัดการศึกษาหลักสูตรควบระดับปริญญาตรี 2 ปริญญา (หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาฝรั่งเศส และหลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาอังกฤษ),,Admission2,Admission2,,,10,10,1,1,1 : 1,15886.4400,15886.4400
4555,10270111902501A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะศิลปศาสตร์,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาอังกฤษ,,Admission1,Admission1,,,30,299,38,30,1 : 9.97,71.9680,56.3500
4556,10270111902501A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะศิลปศาสตร์,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาอังกฤษ,,Admission2,Admission2,,,30,238,37,30,1 : 7.93,18475.6400,12087.6000
4557,10270112400501A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะสถาปัตยกรรมศาสตร์และศิลปกรรมศาสตร์,หลักสูตรสถาปัตยกรรมศาสตรบัณฑิต สาขาวิชาสถาปัตยกรรม,,Admission1,Admission1,,,20,140,26,20,1 : 7,52.0583,40.5583
4558,10270112400501A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะสถาปัตยกรรมศาสตร์และศิลปกรรมศาสตร์,หลักสูตรสถาปัตยกรรมศาสตรบัณฑิต สาขาวิชาสถาปัตยกรรม,,Admission2,Admission2,,,20,130,25,20,1 : 6.5,14044.8000,11038.6400
4559,10270112400701A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะสถาปัตยกรรมศาสตร์และศิลปกรรมศาสตร์,หลักสูตรสถาปัตยกรรมศาสตรบัณฑิต สาขาวิชาสถาปัตยกรรมภายใน,,Admission1,Admission1,,,10,52,17,14,1 : 5.2,56.7750,30.1547
4560,10270112400701A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะสถาปัตยกรรมศาสตร์และศิลปกรรมศาสตร์,หลักสูตรสถาปัตยกรรมศาสตรบัณฑิต สาขาวิชาสถาปัตยกรรมภายใน,,Admission2,Admission2,,,10,40,6,4,1 : 4,13996.2400,10276.3000
4561,10270112800101A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะสถาปัตยกรรมศาสตร์และศิลปกรรมศาสตร์,หลักสูตรศิลปกรรมศาสตรบัณฑิต สาขาวิชาศิลปะและการออกแบบ,,Admission1,Admission1,,,30,55,13,10,1 : 1.83,55.6167,11.4500
4562,10270112800101A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะสถาปัตยกรรมศาสตร์และศิลปกรรมศาสตร์,หลักสูตรศิลปกรรมศาสตรบัณฑิต สาขาวิชาศิลปะและการออกแบบ,,Admission2,Admission2,PAT6,,20,25,3,3,1 : 1.25,13723.5400,7147.1400
4563,10270112800201A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะสถาปัตยกรรมศาสตร์และศิลปกรรมศาสตร์,หลักสูตรศิลปกรรมศาสตรบัณฑิต สาขาวิชาดนตรีและนาฏศิลป์,,Admission1,Admission1,,,10,7,2,1,1 : 0.7,37.9750,37.9750
4564,10270112800201A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะสถาปัตยกรรมศาสตร์และศิลปกรรมศาสตร์,หลักสูตรศิลปกรรมศาสตรบัณฑิต สาขาวิชาดนตรีและนาฏศิลป์,,Admission2,Admission2,PAT6,,10,6,0,0,1 : 0.6,0.0000,0.0000
4565,10270113110101A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะสหเวชศาสตร์,หลักสูตรกายภาพบำบัดบัณฑิต,,Admission1,Admission1,,,20,356,23,20,1 : 17.8,59.7333,56.1917
4566,10270113110101A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะสหเวชศาสตร์,หลักสูตรกายภาพบำบัดบัณฑิต,,Admission2,Admission2,,,25,434,31,25,1 : 17.36,18902.3000,17437.2000
4567,10270113111301A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะสหเวชศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคนิคการแพทย์,,Admission1,Admission1,,,35,1141,41,35,1 : 32.6,65.2500,61.1833
4568,10270113111301A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะสหเวชศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคนิคการแพทย์,,Admission2,Admission2,,,35,1205,43,35,1 : 34.43,20049.7400,18912.8000
4569,10270114213101A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะพลังงานและสิ่งแวดล้อม,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาการจัดการพลังงานและสิ่งแวดล้อม,,Admission1,Admission1,,,15,17,1,1,1 : 1.13,54.4630,54.4630
4570,10270114213101A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะพลังงานและสิ่งแวดล้อม,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาการจัดการพลังงานและสิ่งแวดล้อม,,Admission2,Admission2,,,15,7,0,0,1 : 0.47,0.0000,0.0000
4571,10270114213102F,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะพลังงานและสิ่งแวดล้อม,การจัดการศึกษาหลักสูตรระดับปริญญาตรีควบปริญญาโท (หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาการจัดการพลังงานและสิ่งแวดล้อม และหลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาวิทยาศาสตร์สิ่งแวดล้อม),,Admission1,Admission1,,,5,6,0,0,1 : 1.2,0.0000,0.0000
4572,10270114213102F,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะพลังงานและสิ่งแวดล้อม,การจัดการศึกษาหลักสูตรระดับปริญญาตรีควบปริญญาโท (หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาการจัดการพลังงานและสิ่งแวดล้อม และหลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาวิทยาศาสตร์สิ่งแวดล้อม),,Admission2,Admission2,,,5,2,0,0,1 : 0.4,0.0000,0.0000
4573,10270114302801A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะพลังงานและสิ่งแวดล้อม,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสิ่งแวดล้อม,,Admission1,Admission1,,,20,26,2,2,1 : 1.3,29.9963,27.9963
4574,10270114302801A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะพลังงานและสิ่งแวดล้อม,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสิ่งแวดล้อม,,Admission2,Admission2,,,15,15,1,1,1 : 1,10783.8000,10783.8000
4575,10270114302802F,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะพลังงานและสิ่งแวดล้อม,การจัดการศึกษาหลักสูตรระดับปริญญาตรีควบปริญญาโท (หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสิ่งแวดล้อม และหลักสูตรวิศวกรรมศาสตรมหาบัณฑิต สาขาวิชาวิศวกรรมสิ่งแวดล้อม),,Admission1,Admission1,,,5,4,3,2,1 : 0.8,49.1083,42.8213
4576,10270114302802F,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะพลังงานและสิ่งแวดล้อม,การจัดการศึกษาหลักสูตรระดับปริญญาตรีควบปริญญาโท (หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสิ่งแวดล้อม และหลักสูตรวิศวกรรมศาสตรมหาบัณฑิต สาขาวิชาวิศวกรรมสิ่งแวดล้อม),,Admission2,Admission2,,,5,2,0,0,1 : 0.4,0.0000,0.0000
4577,10270119120101A,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,คณะทันตแพทยศาสตร์,หลักสูตรทันตแพทยศาสตรบัณฑิต,,Admission1,Admission1,,,15,1127,16,15,1 : 75.13,71.7167,68.7000
4578,10270120112001F,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,วิทยาลัยการศึกษา,การจัดการศึกษาหลักสูตรควบระดับปริญญาตรี 2 ปริญญา (หลักสูตรการศึกษาบัณฑิต สาขาวิชาการศึกษา และหลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์การออกกำลังกายและการกีฬา),,Admission1,Admission1,,,10,32,8,6,1 : 3.2,35.2630,21.5130
4579,10270120112001F,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,วิทยาลัยการศึกษา,การจัดการศึกษาหลักสูตรควบระดับปริญญาตรี 2 ปริญญา (หลักสูตรการศึกษาบัณฑิต สาขาวิชาการศึกษา และหลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์การออกกำลังกายและการกีฬา),,Admission2,Admission2,,,10,17,2,1,1 : 1.7,13132.5000,13132.5000
4580,10270120210301F,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,วิทยาลัยการศึกษา,การจัดการศึกษาหลักสูตรควบระดับปริญญาตรี 2 ปริญญา (หลักสูตรการศึกษาบัณฑิต สาขาวิชาการศึกษา และหลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาคณิตศาสตร์),,Admission1,Admission1,,,40,131,52,43,1 : 3.28,55.6083,21.1880
4581,10270120210301F,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,วิทยาลัยการศึกษา,การจัดการศึกษาหลักสูตรควบระดับปริญญาตรี 2 ปริญญา (หลักสูตรการศึกษาบัณฑิต สาขาวิชาการศึกษา และหลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาคณิตศาสตร์),,Admission2,Admission2,,,40,163,26,23,1 : 4.08,17189.3400,10600.8000
4582,10270120210401F,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,วิทยาลัยการศึกษา,การจัดการศึกษาหลักสูตรควบระดับปริญญาตรี 2 ปริญญา (หลักสูตรการศึกษาบัณฑิต สาขาวิชาการศึกษา และหลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเคมี),,Admission1,Admission1,,,20,28,9,8,1 : 1.4,48.8750,29.5750
4583,10270120210401F,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,วิทยาลัยการศึกษา,การจัดการศึกษาหลักสูตรควบระดับปริญญาตรี 2 ปริญญา (หลักสูตรการศึกษาบัณฑิต สาขาวิชาการศึกษา และหลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเคมี),,Admission2,Admission2,,,20,37,7,5,1 : 1.85,14352.7000,11144.6000
4584,10270120210701F,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,วิทยาลัยการศึกษา,การจัดการศึกษาหลักสูตรควบระดับปริญญาตรี 2 ปริญญา (หลักสูตรการศึกษาบัณฑิต สาขาวิชาการศึกษา และหลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาชีววิทยา),,Admission1,Admission1,,,40,70,25,18,1 : 1.75,56.9500,27.9500
4585,10270120210701F,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,วิทยาลัยการศึกษา,การจัดการศึกษาหลักสูตรควบระดับปริญญาตรี 2 ปริญญา (หลักสูตรการศึกษาบัณฑิต สาขาวิชาการศึกษา และหลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาชีววิทยา),,Admission2,Admission2,,,40,73,11,6,1 : 1.83,14406.6000,11554.6400
4586,10270120212701F,มหาวิทยาลัยพะเยา,วิทยาเขตหลัก,วิทยาลัยการศึกษา,การจัดการศึกษาหลักสูตรควบระดับปริญญาตรี 2 ปริญญา (หลักสูตรการศึกษาบัณฑิต สาขาวิชาการศึกษา และหลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาฟิสิกส์),,Admission1,Admission1,,,10,11,0,0,1 : 1.1,0.0000,0.0000
