ลำดับ,รหัสหลักสูตร,สถาบัน,วิทยาเขต,คณะ,หลักสูตร,แขนง/วิชาเอก,โครงการ,รูปแบบ,PAT,รหัสรับร่วม,รับ,สมัคร,ผ่าน,ยืนยันสิทธิ์,อัตราการแข่งขัน,คะแนนสูงสุด,คะแนนต่ำสุด
42,10010123211001A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีทางอาหาร,เทคโนโลยีการอาหาร,,Admission2,,,66,785,78,66,1 : 11.89,21133.1000,17985.3400
43,10010123212301A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาธรณีวิทยา,,,Admission1,,,19,37,1,1,1 : 1.95,49.0833,49.0833
44,10010123212301A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาธรณีวิทยา,,,Admission2,,,27,181,31,27,1 : 6.7,20551.1400,16758.0000
45,10010123212501A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาพฤกษศาสตร์,,,Admission1,,,31,34,0,0,1 : 1.1,0.0000,0.0000
46,10010123212501A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาพฤกษศาสตร์,,,Admission2,,,35,228,46,35,1 : 6.51,17105.7400,15444.5000
47,10010123212601A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาพันธุศาสตร์,,,Admission1,,,31,52,0,0,1 : 1.68,0.0000,0.0000
48,10010123212601A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาพันธุศาสตร์,,,Admission2,,,35,356,42,35,1 : 10.17,19365.8000,16577.2000
49,10010123212701A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาฟิสิกส์,,,Admission1,,,25,83,8,7,1 : 3.32,72.7000,42.3833
50,10010123212701A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาฟิสิกส์,,,Admission2,,,41,265,53,41,1 : 6.46,22781.5000,16406.4400
51,10010123212801A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวัสดุศาสตร์,วัสดุศาสตร์,,Admission1,,,58,69,0,0,1 : 1.19,0.0000,0.0000
52,10010123212801A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวัสดุศาสตร์,วัสดุศาสตร์,,Admission2,,,62,511,75,62,1 : 8.24,18410.4000,15585.9400
53,10010123213001A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์ทางทะเล,,,Admission1,,,24,67,2,1,1 : 2.79,56.5333,56.5333
54,10010123213001A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์ทางทะเล,,,Admission2,,,27,279,29,27,1 : 10.33,19770.6400,17042.1000
55,10010123213101A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์สิ่งแวดล้อม,,,Admission1,,,62,70,4,2,1 : 1.13,44.4167,42.5253
56,10010123213101A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์สิ่งแวดล้อม,,,Admission2,,,70,526,84,70,1 : 7.51,19759.8400,16157.7400
57,10010123213201A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาสัตววิทยา,,,Admission1,,,14,57,1,1,1 : 4.07,47.2667,47.2667
58,10010123213201A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาสัตววิทยา,,,Admission2,,,14,201,15,14,1 : 14.36,18789.7400,17364.3000
59,10010123213501A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาการคอมพิวเตอร์,,,Admission1,,,32,338,34,32,1 : 10.56,60.1000,45.3333
60,10010123213501A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาการคอมพิวเตอร์,,,Admission2,,,49,985,52,49,1 : 20.1,23513.1000,19366.8400
61,10010124903201A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,การปกครอง,สาขาวิชาการปกครอง เลือกสอบวิชาคณิตศาสตร์,Admission1,,2431,43,82,1,1,1 : 1.91,73.7500,73.7500
62,10010124903201A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,การปกครอง,สาขาวิชาการปกครอง เลือกสอบวิชาภาษาเกาหลี,Admission1,,2431,43,46,7,7,1 : 1.07,87.8667,74.4000
63,10010124903201A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,การปกครอง,สาขาวิชาการปกครอง เลือกสอบวิชาภาษาเยอรมัน,Admission1,,2431,43,29,6,5,1 : 0.67,83.0833,75.7500
